WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_447702_286133	447702	286133	B1011V7	1851457	3
WTCHG_447702_286164	447702	286164	B1008V7	1651001	3
WTCHG_447702_287121	447702	287121	B1015V1	1792718	3
WTCHG_447702_287176	447702	287176	B1009V1	1674500	3
WTCHG_447702_288109	447702	288109	B1015V2	1770767	3
WTCHG_447702_288188	447702	288188	B1009V2	1508158	3
WTCHG_447702_289105	447702	289105	B1009V3	1693136	3
WTCHG_447702_289192	447702	289192	B1015V3	1579683	3
WTCHG_447702_290117	447702	290117	B1009V4	1620453	3
WTCHG_447702_290180	447702	290180	B1015V4	1869363	3
WTCHG_447702_291129	447702	291129	B1009V5	1698115	3
WTCHG_447702_291168	447702	291168	B1015V5	1936527	3
WTCHG_447702_292141	447702	292141	B1009V7	1529414	3
WTCHG_447702_292156	447702	292156	B1015V6	1718519	3
WTCHG_447702_293144	447702	293144	B1015V7	1886921	3
WTCHG_447702_293153	447702	293153	B1010V1	1709621	3
WTCHG_447702_294132	447702	294132	B1030V1	1747776	3
WTCHG_447702_294165	447702	294165	B1010V2	1577034	3
WTCHG_447702_295120	447702	295120	B1030V2	1824689	3
WTCHG_447702_295177	447702	295177	B1010V3	1646625	3
WTCHG_447702_296108	447702	296108	B1030V3	2168466	3
WTCHG_447702_296189	447702	296189	B1010V5	1923838	3
WTCHG_447703_201106	447703	201106	B1010V6	1721224	3
WTCHG_447703_201191	447703	201191	B1030V4	2049325	3
WTCHG_447703_202118	447703	202118	B1010V7	1736301	3
WTCHG_447703_202179	447703	202179	B1030V5	1871960	3
WTCHG_447703_203130	447703	203130	B1012V1	1629569	3
WTCHG_447703_203167	447703	203167	B1030V6	1708577	3
WTCHG_447703_204142	447703	204142	B1012V2	1648187	3
WTCHG_447703_204155	447703	204155	B1030V7	1809222	3
WTCHG_447703_205143	447703	205143	B1039V2	1556094	3
WTCHG_447703_205154	447703	205154	B1012V3	1757394	3
WTCHG_447703_206131	447703	206131	B1039V3	1518797	3
WTCHG_447703_206166	447703	206166	B1012V4	1709842	3
WTCHG_447703_207119	447703	207119	B1039V4	1665964	3
WTCHG_447703_207178	447703	207178	B1012V5	1597866	3
WTCHG_447703_208107	447703	208107	B1039V5	1784406	3
WTCHG_447703_208190	447703	208190	B1012V6	1638744	3
WTCHG_447703_209107	447703	209107	B1012V7	1752406	3
WTCHG_447703_209190	447703	209190	B1039V6	1569999	3
WTCHG_447703_210119	447703	210119	B1017V1	1727254	3
WTCHG_447703_210178	447703	210178	B1039V7	2024694	3
WTCHG_447703_211131	447703	211131	B1017V2	1788151	3
WTCHG_447703_211166	447703	211166	B1021V1	1905066	3
WTCHG_447703_212143	447703	212143	B1017V3	1773292	3
WTCHG_447703_212154	447703	212154	B1021V5	700601	3
WTCHG_447703_213142	447703	213142	B1021V7	1978460	3
WTCHG_447703_213155	447703	213155	B1017V4	1824405	3
WTCHG_447703_214130	447703	214130	B1006V1	1628204	3
WTCHG_447703_214167	447703	214167	B1017V5	1625042	3
WTCHG_447703_215118	447703	215118	B1006V2	1846255	3
WTCHG_447703_215179	447703	215179	B1017V6	1674817	3
WTCHG_447703_216106	447703	216106	B1006V4	1874718	3
WTCHG_447703_216191	447703	216191	B1018V1	1807458	3
WTCHG_447703_217108	447703	217108	B1018V2	1732930	3
WTCHG_447703_217189	447703	217189	B1006V5	1901911	3
WTCHG_447703_218120	447703	218120	B1018V3	1660017	3
WTCHG_447703_218177	447703	218177	B1006V6	1770658	3
WTCHG_447703_219132	447703	219132	B1018V5	1820331	3
WTCHG_447703_219165	447703	219165	B1006V7	1856859	3
WTCHG_447703_220144	447703	220144	B1018V6	1705362	3
WTCHG_447703_220153	447703	220153	B1033V2	1825490	3
WTCHG_447703_221141	447703	221141	B1033V3	1741358	3
WTCHG_447703_221156	447703	221156	B1018V7	1678981	3
WTCHG_447703_222129	447703	222129	B1033V4	1490810	3
WTCHG_447703_222168	447703	222168	B1022V1	1661664	3
WTCHG_447703_223117	447703	223117	B1033V5	1751377	3
WTCHG_447703_223180	447703	223180	B1022V2	1642680	3
WTCHG_447703_224105	447703	224105	B1033V6	1793132	3
WTCHG_447703_224192	447703	224192	B1022V3	1627804	3
WTCHG_447703_225109	447703	225109	B1022V4	1573125	3
WTCHG_447703_225188	447703	225188	B1033V7	1796824	3
WTCHG_447703_226121	447703	226121	B1022V5	2140231	3
WTCHG_447703_226176	447703	226176	B1035V3	1939371	3
WTCHG_447703_227133	447703	227133	B1022V6	1870195	3
WTCHG_447703_227164	447703	227164	B1035V4	1713859	3
WTCHG_447703_228145	447703	228145	B1022V7	1827980	3
WTCHG_447703_228152	447703	228152	B1013V1	1531371	3
WTCHG_447703_229140	447703	229140	B1013V3	1630871	3
WTCHG_447703_229157	447703	229157	B1024V1	1582425	3
WTCHG_447703_230128	447703	230128	B1013V5	1404264	3
WTCHG_447703_230169	447703	230169	B1024V2	1667181	3
WTCHG_447703_231116	447703	231116	B1013V6	1708606	3
WTCHG_447703_231181	447703	231181	B1024V3	1396063	3
WTCHG_447703_232104	447703	232104	B1013V7	1747428	3
WTCHG_447703_232193	447703	232193	B1024V4	1731156	3
WTCHG_447703_233110	447703	233110	B1024V5	1770413	3
WTCHG_447703_233187	447703	233187	B1016V1	1756424	3
WTCHG_447703_234122	447703	234122	B1024V6	1906177	3
WTCHG_447703_234175	447703	234175	B1016V3	1794129	3
WTCHG_447703_235134	447703	235134	B1024V7	1988911	3
WTCHG_447703_235163	447703	235163	B1016V4	1652274	3
WTCHG_447703_236146	447703	236146	B1025V1	1898115	3
WTCHG_447703_236151	447703	236151	B1016V5	1636753	3
WTCHG_447703_237139	447703	237139	B1016V6	1525116	3
